ts_open,o,h,l,c,v,ts_close
1695043800.0,176.479996,178.979996,176.169998,177.021896,22986329.000000,1695047400.0
1695047400.0,177.031906,177.839996,176.440002,177.809998,7649414.000000,1695051000.0
1695051000.0,177.800003,178.649994,177.744995,178.544998,5913851.000000,1695054600.0
1695054600.0,178.544998,179.210007,178.544998,179.115005,6522049.000000,1695058200.0
1695058200.0,179.119995,179.380005,178.869995,178.960007,4692584.000000,1695061800.0
1695061800.0,178.964996,179.070007,178.270004,178.419098,5151407.000000,1695065400.0
1695065400.0,178.414993,178.414993,177.774994,177.979996,6221950.000000,1695069000.0
1695130200.0,177.520004,178.669998,177.130005,177.759995,13717340.000000,1695133800.0
1695133800.0,177.770004,177.770004,177.149994,177.585007,4986178.000000,1695137400.0
1695137400.0,177.580002,178.199997,177.500000,178.134995,4831585.000000,1695141000.0
1695141000.0,178.139999,178.580002,177.779999,178.580002,4485361.000000,1695144600.0
1695144600.0,178.580002,179.389999,178.570007,179.134995,5953775.000000,1695148200.0
1695148200.0,179.130005,179.630005,178.740005,179.104996,5357277.000000,1695151800.0
1695151800.0,179.100006,179.440002,178.929993,179.089996,4759565.000000,1695155400.0
1695216600.0,179.259995,179.695007,177.259995,177.580002,11888750.000000,1695220200.0
1695220200.0,177.589996,178.020004,176.860001,176.985001,6443832.000000,1695223800.0
1695223800.0,176.985001,177.639999,176.945007,177.639999,3895126.000000,1695227400.0
1695227400.0,177.649994,177.759995,177.309998,177.500000,2860366.000000,1695231000.0
1695231000.0,177.500000,177.795105,176.580002,177.169998,7442547.000000,1695234600.0
1695234600.0,177.169998,177.779999,176.339996,176.759995,7722325.000000,1695238200.0
1695238200.0,176.770004,176.830002,175.399994,175.490005,8164723.000000,1695241800.0
1695303000.0,175.169998,176.059998,174.589996,175.395203,16014441.000000,1695306600.0
1695306600.0,175.394699,176.300003,174.820007,174.919998,6964271.000000,1695310200.0
1695310200.0,174.919998,175.699997,174.830002,175.115005,7618030.000000,1695313800.0
1695313800.0,175.110001,175.494995,174.860001,175.309998,5142611.000000,1695317400.0
1695317400.0,175.310104,175.539993,174.630005,174.660004,4546305.000000,1695321000.0
1695321000.0,174.660004,175.000000,174.220001,174.270004,5610628.000000,1695324600.0
1695324600.0,174.264999,174.544998,173.860001,173.929993,7023086.000000,1695328200.0
1695389400.0,174.669998,175.389999,174.050003,175.275803,10497072.000000,1695393000.0
1695393000.0,175.289993,176.619995,175.282394,176.380005,8923173.000000,1695396600.0
1695396600.0,176.380005,176.750000,175.940002,176.610001,5882339.000000,1695400200.0
1695400200.0,176.619995,177.078995,175.580002,175.699997,6590040.000000,1695403800.0
1695403800.0,175.679993,175.679993,174.960007,175.130005,5107772.000000,1695407400.0
1695407400.0,175.119995,175.990005,174.809998,175.690002,5389547.000000,1695411000.0
1695411000.0,175.684998,175.785004,174.619995,174.740005,6325268.000000,1695414600.0
1695648600.0,174.199997,175.550003,174.149994,174.470001,10347795.000000,1695652200.0
1695652200.0,174.460007,176.539993,174.369995,176.270004,6689826.000000,1695655800.0
1695655800.0,176.287994,176.970001,175.880005,176.880005,5521525.000000,1695659400.0
1695659400.0,176.884995,176.910004,176.039993,176.130005,4345407.000000,1695663000.0
1695663000.0,176.149994,176.367599,175.679993,175.774994,4024629.000000,1695666600.0
1695666600.0,175.770096,176.128998,174.970001,175.610504,5475304.000000,1695670200.0
1695670200.0,175.610001,176.149994,175.369995,176.089996,4708932.000000,1695673800.0
1695735000.0,174.820007,175.199997,172.479996,173.100006,15789905.000000,1695738600.0
1695738600.0,173.089996,173.649994,172.414993,172.570007,7904418.000000,1695742200.0
1695742200.0,172.580002,173.190002,172.520004,173.009995,5378958.000000,1695745800.0
1695745800.0,173.009995,173.529999,172.845001,172.845001,4194456.000000,1695749400.0
1695749400.0,172.854996,173.005005,172.220001,172.300201,5275716.000000,1695753000.0
1695753000.0,172.304993,172.440002,171.660004,171.740005,7371366.000000,1695756600.0
1695756600.0,171.740005,172.330002,171.720001,171.899994,8556952.000000,1695760200.0
1695821400.0,172.619995,173.039993,170.309998,171.270004,14619741.000000,1695825000.0
1695825000.0,171.250000,171.479996,170.270004,170.975006,6917499.000000,1695828600.0
1695828600.0,170.979996,171.080002,169.639999,169.839996,6897103.000000,1695832200.0
1695832200.0,169.850006,170.199997,169.289993,169.300003,6176660.000000,1695835800.0
1695835800.0,169.299896,170.100006,169.050003,170.070007,5755630.000000,1695839400.0
1695839400.0,170.065002,170.960007,170.029999,170.160004,8680644.000000,1695843000.0
1695843000.0,170.160004,170.479996,169.759995,170.429993,8671175.000000,1695846600.0
1695907800.0,169.339996,170.009995,167.619995,169.130005,15189658.000000,1695911400.0
1695911400.0,169.139999,170.679993,168.690002,170.500000,8618775.000000,1695915000.0
1695915000.0,170.500000,172.029999,170.470795,171.889999,7088514.000000,1695918600.0
1695918600.0,171.889999,171.914993,170.860001,170.889999,4825213.000000,1695922200.0
1695922200.0,170.882004,171.164993,170.429993,171.130005,4681956.000000,1695925800.0
1695925800.0,171.134995,171.679993,170.309998,171.580002,4835316.000000,1695929400.0
1695929400.0,171.580002,171.639999,170.440002,170.690002,5724842.000000,1695933000.0
1695994200.0,172.020004,173.070007,171.770004,172.250000,11049307.000000,1695997800.0
1695997800.0,172.270004,172.770004,172.020004,172.059998,5432567.000000,1696001400.0
1696001400.0,172.059998,172.089996,171.530106,171.835007,3810317.000000,1696005000.0
1696005000.0,171.839996,171.929993,170.729996,171.229996,3723090.000000,1696008600.0
1696008600.0,171.229996,171.300003,170.380005,170.539993,3930145.000000,1696012200.0
1696012200.0,170.544998,171.710007,170.341003,171.289902,5505006.000000,1696015800.0
1696015800.0,171.279999,171.919998,170.759995,171.220001,6445307.000000,1696019400.0
1696253400.0,171.220001,174.039993,170.929993,173.330002,12402556.000000,1696257000.0
1696257000.0,173.350006,174.300003,172.839996,174.104599,6937293.000000,1696260600.0
1696260600.0,174.119995,174.210007,172.820007,173.350006,5325939.000000,1696264200.0
1696264200.0,173.360001,173.470001,172.729996,173.309998,3752202.000000,1696267800.0
1696267800.0,173.309998,173.710007,172.770004,172.789902,4113658.000000,1696271400.0
1696271400.0,172.781998,173.210007,172.533005,173.000000,4726767.000000,1696275000.0
1696275000.0,173.000000,173.779999,172.750000,173.750000,6420476.000000,1696278600.0
1696339800.0,172.255005,173.630005,170.820007,171.171799,11761888.000000,1696343400.0
1696343400.0,171.179993,171.985001,171.070007,171.630005,6639286.000000,1696347000.0
1696347000.0,171.639999,172.365005,171.360001,172.264008,4492914.000000,1696350600.0
1696350600.0,172.279999,172.804993,171.964905,172.001801,4727540.000000,1696354200.0
1696354200.0,172.009995,172.130005,171.550995,171.850006,3774205.000000,1696357800.0
1696357800.0,171.850006,172.399994,171.789993,171.860001,4821504.000000,1696361400.0
1696361400.0,171.854996,172.520004,171.779999,172.460007,6252137.000000,1696365000.0
1696426200.0,171.089996,172.740005,170.970001,172.389999,13074765.000000,1696429800.0
1696429800.0,172.395004,173.490005,172.130005,172.860001,8356128.000000,1696433400.0
1696433400.0,172.860001,173.289993,172.500000,173.169998,4452327.000000,1696437000.0
1696437000.0,173.169998,173.259995,172.645004,172.679993,3158072.000000,1696440600.0
1696440600.0,172.679993,172.919998,172.350006,172.740005,3835275.000000,1696444200.0
1696444200.0,172.740005,173.815002,172.610001,173.769897,5119455.000000,1696447800.0
1696447800.0,173.770004,174.210007,173.369995,173.639999,7816168.000000,1696451400.0
1696512600.0,173.789993,174.408005,173.070007,173.690002,9578634.000000,1696516200.0
1696516200.0,173.690002,173.756195,172.679993,173.600006,6597067.000000,1696519800.0
1696519800.0,173.604996,174.029999,173.264999,173.970001,5261407.000000,1696523400.0
1696523400.0,173.960098,174.160004,173.619995,174.158203,4292030.000000,1696527000.0
1696527000.0,174.149994,175.199997,173.960007,174.959900,6318028.000000,1696530600.0
1696530600.0,174.949997,175.449997,174.869995,175.119995,4890794.000000,1696534200.0
1696534200.0,175.119995,175.220001,174.839996,174.979996,4853082.000000,1696537800.0
1696599000.0,173.800003,175.059998,173.179993,174.809998,11096512.000000,1696602600.0
1696602600.0,174.800003,175.669998,174.729996,175.449997,7955406.000000,1696606200.0
1696606200.0,175.449997,177.050003,175.429993,176.670105,7166594.000000,1696609800.0
1696609800.0,176.679993,177.360001,176.449997,177.160004,5056666.000000,1696613400.0
1696613400.0,177.169998,177.539993,177.100006,177.529099,4054867.000000,1696617000.0
1696617000.0,177.529999,177.955002,177.419998,177.940002,5634496.000000,1696620600.0
1696620600.0,177.934998,177.990005,177.399994,177.490005,7319309.000000,1696624200.0
1696858200.0,176.809998,177.360001,175.800003,176.869995,9359311.000000,1696861800.0
1696861800.0,176.869995,177.125000,176.190002,177.085007,4686689.000000,1696865400.0
1696865400.0,177.074997,178.070007,176.869995,177.610001,4765690.000000,1696869000.0
1696869000.0,177.600006,177.970001,177.434998,177.949997,2606059.000000,1696872600.0
