ts_open,o,h,l,c,v,ts_close
1695303000.0,98.599998,98.870003,96.720901,97.239998,17454192.000000,1695306600.0
1695306600.0,97.230003,97.809998,96.449997,96.620003,8549539.000000,1695310200.0
1695310200.0,96.614998,97.199997,96.370003,96.800003,6156225.000000,1695313800.0
1695313800.0,96.820000,97.375000,96.480003,97.294998,5134283.000000,1695317400.0
1695317400.0,97.296097,97.589996,96.570099,96.629997,4943983.000000,1695321000.0
1695321000.0,96.611801,96.919998,95.860001,95.949997,7250883.000000,1695324600.0
1695324600.0,95.949997,96.239998,95.839996,96.080002,6453317.000000,1695328200.0
1695389400.0,96.919998,97.489998,95.809998,97.379898,13428285.000000,1695393000.0
1695393000.0,97.360100,98.419998,97.360001,98.030098,9416969.000000,1695396600.0
1695396600.0,98.040001,98.400002,97.360001,97.750000,6271749.000000,1695400200.0
1695400200.0,97.760002,97.779999,96.809998,96.900002,4757435.000000,1695403800.0
1695403800.0,96.900002,96.993698,95.610001,96.033997,6267850.000000,1695407400.0
1695407400.0,96.019997,96.940002,95.849998,96.669998,5252951.000000,1695411000.0
1695411000.0,96.690002,96.829903,95.900002,96.190002,4672997.000000,1695414600.0
1695648600.0,95.949997,96.750000,94.459999,95.550003,12316681.000000,1695652200.0
1695652200.0,95.529999,96.849998,95.290001,96.500000,8151921.000000,1695655800.0
1695655800.0,96.510002,97.129997,96.379997,97.004997,4769194.000000,1695659400.0
1695659400.0,97.010002,97.029999,96.230003,96.699997,4195056.000000,1695663000.0
1695663000.0,96.709999,97.102203,96.529999,96.805000,3816236.000000,1695666600.0
1695666600.0,96.800003,97.190002,96.370003,96.980003,4418800.000000,1695670200.0
1695670200.0,96.959999,97.449997,96.830002,97.389999,3799418.000000,1695673800.0
1695735000.0,96.500000,97.300003,95.269997,97.084396,12760687.000000,1695738600.0
1695738600.0,97.080002,97.830002,96.160004,96.169998,7326906.000000,1695742200.0
1695742200.0,96.171997,96.430000,95.830498,96.235001,4433408.000000,1695745800.0
1695745800.0,96.229599,96.370003,95.860001,95.879997,2998860.000000,1695749400.0
1695749400.0,95.870003,96.139900,95.500000,95.945000,4274360.000000,1695753000.0
1695753000.0,95.940002,96.120003,95.339996,95.430000,4778012.000000,1695756600.0
1695756600.0,95.440002,96.019997,95.394997,95.959999,4104772.000000,1695760200.0
1695821400.0,96.820000,98.385002,96.349998,98.358498,13878467.000000,1695825000.0
1695825000.0,98.355003,98.750000,97.570000,98.202499,8780474.000000,1695828600.0
1695828600.0,98.199997,98.199997,97.153603,97.550003,5105171.000000,1695832200.0
1695832200.0,97.549896,97.659500,96.760002,96.790001,4366658.000000,1695835800.0
