ts_open,o,h,l,c,v,ts_close
1723852800.0,58897.425781,59260.769531,58847.144531,59216.753906,0.000000,1723856400.0
1723856400.0,59216.132812,59394.523438,59150.710938,59226.539062,0.000000,1723860000.0
1723860000.0,59263.718750,59335.882812,59143.789062,59163.394531,0.000000,1723863600.0
1723863600.0,59161.093750,59180.703125,59036.265625,59169.585938,0.000000,1723867200.0
1723867200.0,59166.421875,59264.898438,59107.148438,59236.613281,0.000000,1723870800.0
1723870800.0,59240.800781,59264.296875,59175.105469,59200.902344,0.000000,1723874400.0
1723874400.0,59178.160156,59221.390625,59167.289062,59179.945312,0.000000,1723878000.0
1723878000.0,59176.613281,59254.835938,59085.949219,59254.835938,0.000000,1723881600.0
1723881600.0,59264.839844,59279.039062,59180.777344,59274.976562,0.000000,1723885200.0
1723885200.0,59290.972656,59453.769531,59259.199219,59310.476562,0.000000,1723888800.0
1723888800.0,59329.109375,59339.046875,59117.699219,59117.699219,0.000000,1723892400.0
1723892400.0,59133.921875,59188.824219,59094.578125,59131.699219,0.000000,1723896000.0
1723896000.0,59141.128906,59268.695312,59131.472656,59239.246094,0.000000,1723899600.0
1723899600.0,59240.937500,59427.179688,59226.101562,59318.863281,0.000000,1723903200.0
1723903200.0,59323.671875,59520.984375,59291.769531,59511.675781,0.000000,1723906800.0
1723906800.0,59539.410156,59624.292969,59398.585938,59403.328125,0.000000,1723910400.0
1723910400.0,59402.105469,59639.453125,59402.105469,59619.195312,0.000000,1723914000.0
1723914000.0,59624.519531,59669.039062,59471.574219,59471.574219,0.000000,1723917600.0
1723917600.0,59454.242188,59474.464844,59336.445312,59425.558594,0.000000,1723921200.0
1723921200.0,59413.468750,59513.039062,59413.468750,59484.750000,0.000000,1723924800.0
1723924800.0,59486.902344,59503.226562,59382.695312,59422.234375,0.000000,1723928400.0
1723928400.0,59406.488281,59431.550781,59197.468750,59295.750000,0.000000,1723932000.0
1723932000.0,59302.835938,59341.132812,59266.363281,59312.667969,0.000000,1723935600.0
1723935600.0,59312.753906,59468.132812,59312.203125,59468.132812,0.000000,1723939200.0
1723939200.0,59486.191406,59739.160156,59471.972656,59698.605469,0.000000,1723942800.0
1723942800.0,59690.718750,59690.718750,59453.812500,59453.812500,0.000000,1723946400.0
