ts_open,o,h,l,c,v,ts_close
1695043800.0,327.799988,330.315002,326.850006,328.899994,4113749.000000,1695047400.0
1695047400.0,328.950012,329.829987,328.059998,329.809998,1786341.000000,1695051000.0
1695051000.0,329.769989,330.399994,328.899994,329.260010,1307131.000000,1695054600.0
1695054600.0,329.290009,329.619995,327.940002,328.459991,1091090.000000,1695058200.0
1695058200.0,328.480011,328.640015,327.339996,327.945007,1161643.000000,1695061800.0
1695061800.0,327.959991,328.170013,326.359985,327.776306,1609716.000000,1695065400.0
1695065400.0,327.739990,329.320007,327.220001,329.100006,1881281.000000,1695069000.0
1695130200.0,326.170013,328.750000,324.869995,325.690002,4620100.000000,1695133800.0
1695133800.0,325.679993,326.000000,324.510010,325.649994,2053662.000000,1695137400.0
1695137400.0,325.600006,326.678009,325.489990,326.049988,1275221.000000,1695141000.0
1695141000.0,326.019989,327.359985,325.559998,326.795013,1133097.000000,1695144600.0
1695144600.0,326.799988,328.670013,326.799988,328.029999,1383575.000000,1695148200.0
1695148200.0,328.040009,329.190002,327.550110,328.250000,1300260.000000,1695151800.0
1695151800.0,328.220001,329.390015,328.089996,328.630005,1896048.000000,1695155400.0
1695216600.0,329.510010,329.589996,327.390015,327.679291,3616952.000000,1695220200.0
1695220200.0,327.640015,328.380005,326.271790,326.535004,1948714.000000,1695223800.0
1695223800.0,326.480804,327.228210,325.029999,326.721588,1383762.000000,1695227400.0
1695227400.0,326.727814,326.984985,325.920013,326.059998,1105140.000000,1695231000.0
1695231000.0,326.079987,326.239990,323.890015,325.260010,2278064.000000,1695234600.0
1695234600.0,325.250092,326.627106,322.630005,323.399994,2865780.000000,1695238200.0
1695238200.0,323.410004,323.529999,320.510010,320.760010,3360298.000000,1695241800.0
1695303000.0,319.260010,324.149994,315.000000,320.700012,9500371.000000,1695306600.0
1695306600.0,320.664398,325.349915,320.279999,322.019989,6389957.000000,1695310200.0
1695310200.0,322.040009,322.882904,320.239990,320.690002,2748884.000000,1695313800.0
1695313800.0,320.690002,323.399994,320.390015,322.790009,2376718.000000,1695317400.0
1695317400.0,322.760010,323.079987,320.480011,320.489990,2065611.000000,1695321000.0
1695321000.0,320.489990,321.369995,319.559998,320.679993,3005180.000000,1695324600.0
1695324600.0,320.649994,321.760010,319.500000,319.540009,3824741.000000,1695328200.0
1695389400.0,321.320007,321.450012,317.809998,319.410004,4064881.000000,1695393000.0
1695393000.0,319.410004,321.040009,319.230011,320.559998,2793607.000000,1695396600.0
1695396600.0,320.589996,320.700012,318.924988,319.704987,1618065.000000,1695400200.0
1695400200.0,319.679993,320.130005,318.012512,318.230011,1419112.000000,1695403800.0
1695403800.0,318.239899,318.239990,316.589996,317.379913,1673500.000000,1695407400.0
1695407400.0,317.359985,319.299988,317.079987,318.750000,1622542.000000,1695411000.0
1695411000.0,318.790009,318.850006,316.149994,317.019989,2795888.000000,1695414600.0
1695648600.0,316.589996,317.670013,315.649994,316.079987,4130465.000000,1695652200.0
1695652200.0,316.049988,317.220001,315.059998,316.500000,2219391.000000,1695655800.0
1695655800.0,316.519989,317.190002,315.859985,316.589996,1233732.000000,1695659400.0
1695659400.0,316.609985,316.690002,315.331299,315.679993,1347872.000000,1695663000.0
1695663000.0,315.690002,316.459991,315.269989,315.869995,1206994.000000,1695666600.0
1695666600.0,315.829987,316.450012,315.000000,316.179901,1766752.000000,1695670200.0
1695670200.0,316.149994,317.630005,315.950012,317.600006,2159301.000000,1695673800.0
1695735000.0,315.130005,315.880005,311.559998,312.559998,5733037.000000,1695738600.0
1695738600.0,312.540009,313.410004,311.079987,311.079987,2927402.000000,1695742200.0
1695742200.0,311.079987,312.700012,310.829987,312.279999,2421952.000000,1695745800.0
1695745800.0,312.279907,312.920013,311.549988,311.600006,1570089.000000,1695749400.0
1695749400.0,311.579987,311.839996,310.660004,310.869507,2875349.000000,1695753000.0
1695753000.0,310.864594,311.149994,310.019989,310.420013,2926657.000000,1695756600.0
1695756600.0,310.429901,312.429993,310.059998,312.140015,3514042.000000,1695760200.0
1695821400.0,312.299988,313.700012,310.589996,311.609985,4400123.000000,1695825000.0
1695825000.0,311.579987,312.029999,310.175507,311.809998,2536023.000000,1695828600.0
1695828600.0,311.817688,311.877014,310.269989,310.809998,1355545.000000,1695832200.0
1695832200.0,310.829987,311.899994,310.345001,310.380005,1588484.000000,1695835800.0
1695835800.0,310.320007,311.369995,309.690002,311.339996,1864682.000000,1695839400.0
1695839400.0,311.309998,314.299011,311.309998,313.269989,2801872.000000,1695843000.0
1695843000.0,313.254913,313.640015,311.869995,312.829987,1882683.000000,1695846600.0
1695907800.0,310.989990,312.118896,309.450012,310.920013,4601114.000000,1695911400.0
1695911400.0,310.945007,312.869995,309.880005,312.869995,2506931.000000,1695915000.0
1695915000.0,312.880005,315.459991,312.834900,315.450012,2900673.000000,1695918600.0
1695918600.0,315.440002,315.480011,313.651398,313.915009,1390567.000000,1695922200.0
1695922200.0,313.929993,314.519989,313.089996,314.019989,1186519.000000,1695925800.0
1695925800.0,314.019989,314.649994,312.720001,314.589996,2198451.000000,1695929400.0
1695929400.0,314.559998,314.649994,312.809998,313.670013,1901362.000000,1695933000.0
1695994200.0,317.750000,319.470001,316.730011,317.790009,4599208.000000,1695997800.0
1695997800.0,317.820007,318.890015,317.250000,317.268494,2133169.000000,1696001400.0
1696001400.0,317.290009,318.329987,317.084991,317.890015,1605335.000000,1696005000.0
1696005000.0,317.920013,318.220001,315.220001,315.980988,2479738.000000,1696008600.0
1696008600.0,315.970001,316.459900,315.170013,315.329987,1360045.000000,1696012200.0
1696012200.0,315.309998,316.709991,314.980011,316.089996,1781172.000000,1696015800.0
1696015800.0,316.049988,317.880005,315.171997,315.709991,3343656.000000,1696019400.0
1696253400.0,316.279999,319.037201,315.179993,318.260010,4154228.000000,1696257000.0
1696257000.0,318.320007,321.390015,317.130005,320.959991,2834021.000000,1696260600.0
1696260600.0,321.000000,321.170013,317.829987,318.579987,2000514.000000,1696264200.0
1696264200.0,318.545013,318.950012,317.600006,318.549988,1380507.000000,1696267800.0
1696267800.0,318.559998,320.200012,318.260010,318.600006,1521910.000000,1696271400.0
1696271400.0,318.640015,319.820007,318.309998,319.549988,1465721.000000,1696275000.0
1696275000.0,319.549988,321.888000,319.350006,321.809998,3015744.000000,1696278600.0
1696339800.0,320.829987,321.390015,315.649994,315.690002,3765818.000000,1696343400.0
1696343400.0,315.700012,316.499512,313.079987,313.932800,2928082.000000,1696347000.0
1696347000.0,313.899994,314.665009,313.500000,313.744812,2160922.000000,1696350600.0
1696350600.0,313.769989,314.209991,312.529999,312.750000,1730677.000000,1696354200.0
1696354200.0,312.750000,312.959991,311.989990,312.355713,1790912.000000,1696357800.0
1696357800.0,312.329987,313.149994,311.559998,311.600006,2030814.000000,1696361400.0
1696361400.0,311.600006,313.519989,311.214996,313.350006,2810349.000000,1696365000.0
1696426200.0,314.029999,317.880005,314.000000,315.829987,4226789.000000,1696429800.0
1696429800.0,315.869995,319.040009,315.869995,318.114990,2700875.000000,1696433400.0
1696433400.0,318.140015,319.250000,317.790009,318.209991,1588573.000000,1696437000.0
1696437000.0,318.339996,318.500000,317.170013,317.220001,1537162.000000,1696440600.0
1696440600.0,317.200012,317.359985,316.160004,317.179993,1383799.000000,1696444200.0
1696444200.0,317.190002,319.340088,316.850006,318.929993,1629317.000000,1696447800.0
1696447800.0,318.940002,320.040009,318.649994,318.950012,2876666.000000,1696451400.0
