ts_open,o,h,l,c,v,ts_close
916981200.0,0.043750,0.048828,0.038802,0.041016,2714688000.000000,917067600.0
917240400.0,0.044271,0.045833,0.041016,0.045313,510480000.000000,917326800.0
917326800.0,0.045833,0.046745,0.041146,0.041797,343200000.000000,917413200.0
917413200.0,0.041927,0.042969,0.039583,0.041667,244368000.000000,917499600.0
917499600.0,0.041667,0.041927,0.041276,0.041536,227520000.000000,917586000.0
917586000.0,0.041536,0.041667,0.039583,0.039583,244032000.000000,917672400.0
917845200.0,0.039583,0.040625,0.039583,0.040365,154704000.000000,917931600.0
917931600.0,0.039583,0.040625,0.036068,0.037240,264096000.000000,918018000.0
918018000.0,0.036719,0.038542,0.036458,0.038021,75120000.000000,918104400.0
918104400.0,0.038542,0.041146,0.038021,0.040104,181920000.000000,918190800.0
918190800.0,0.040755,0.041667,0.039714,0.041276,136848000.000000,918277200.0
918450000.0,0.041536,0.041667,0.039844,0.039844,154080000.000000,918536400.0
918536400.0,0.040625,0.040885,0.037760,0.038281,86976000.000000,918622800.0
918622800.0,0.038281,0.039323,0.037240,0.037891,148224000.000000,918709200.0
918709200.0,0.038021,0.042708,0.038021,0.041146,132240000.000000,918795600.0
918795600.0,0.041667,0.043750,0.041667,0.043490,109728000.000000,918882000.0
919141200.0,0.044271,0.046094,0.039323,0.043750,211008000.000000,919227600.0
919227600.0,0.042708,0.043229,0.040625,0.041406,67728000.000000,919314000.0
919314000.0,0.042708,0.043229,0.040885,0.042057,70704000.000000,919400400.0
919400400.0,0.041667,0.044271,0.041146,0.043490,75360000.000000,919486800.0
919659600.0,0.044271,0.044792,0.041406,0.043750,205248000.000000,919746000.0
919746000.0,0.044792,0.046745,0.042188,0.045833,138096000.000000,919832400.0
919832400.0,0.052604,0.054688,0.048307,0.049479,612768000.000000,919918800.0
919918800.0,0.051563,0.053125,0.047135,0.047917,149136000.000000,920005200.0
920005200.0,0.048438,0.050000,0.045313,0.045703,172608000.000000,920091600.0
920264400.0,0.046875,0.047917,0.043750,0.045964,92160000.000000,920350800.0
920350800.0,0.045833,0.046094,0.044792,0.045573,55248000.000000,920437200.0
920437200.0,0.045833,0.045833,0.042188,0.042448,61392000.000000,920523600.0
920523600.0,0.044531,0.044792,0.041146,0.041536,57360000.000000,920610000.0
920610000.0,0.041927,0.044010,0.041927,0.043880,78768000.000000,920696400.0
920869200.0,0.042708,0.045833,0.041927,0.044531,75888000.000000,920955600.0
920955600.0,0.044401,0.046615,0.044401,0.045964,143184000.000000,921042000.0
921042000.0,0.046615,0.046615,0.044531,0.045182,235344000.000000,921128400.0
921128400.0,0.044401,0.045182,0.043229,0.043229,54288000.000000,921214800.0
921214800.0,0.043490,0.043490,0.041667,0.042448,90768000.000000,921301200.0
921474000.0,0.043490,0.044792,0.043229,0.044271,108816000.000000,921560400.0
921560400.0,0.044531,0.045052,0.042448,0.042839,79152000.000000,921646800.0
921646800.0,0.043229,0.044010,0.042057,0.043099,51360000.000000,921733200.0
921733200.0,0.043229,0.044271,0.042188,0.043620,46320000.000000,921819600.0
921819600.0,0.043490,0.045052,0.043490,0.043750,105312000.000000,921906000.0
922078800.0,0.044661,0.044792,0.042448,0.042448,36672000.000000,922165200.0
922165200.0,0.042708,0.042708,0.039063,0.039844,163968000.000000,922251600.0
922251600.0,0.039583,0.039844,0.038021,0.039583,60864000.000000,922338000.0
922338000.0,0.039453,0.041667,0.039323,0.040104,40320000.000000,922424400.0
922424400.0,0.040625,0.043750,0.040625,0.043620,88272000.000000,922510800.0
922683600.0,0.044922,0.045964,0.044141,0.044922,65952000.000000,922770000.0
922770000.0,0.045052,0.045443,0.040885,0.041146,69504000.000000,922856400.0
922856400.0,0.042448,0.044531,0.040495,0.044010,153600000.000000,922942800.0
922942800.0,0.044010,0.044271,0.041927,0.042708,30432000.000000,923029200.0
923284800.0,0.042188,0.043229,0.041146,0.041406,98640000.000000,923371200.0
923371200.0,0.041797,0.041927,0.039583,0.040365,69696000.000000,923457600.0
923457600.0,0.040625,0.044010,0.040365,0.043750,89280000.000000,923544000.0
923544000.0,0.044010,0.045833,0.043490,0.044531,130128000.000000,923630400.0
923630400.0,0.044792,0.044792,0.043490,0.043750,48624000.000000,923716800.0
923889600.0,0.043229,0.043229,0.041146,0.041927,33312000.000000,923976000.0
923976000.0,0.042708,0.042708,0.039583,0.040234,36144000.000000,924062400.0
