ts_open,o,h,l,c,v,ts_close
1695043800.0,42.748001,43.820000,42.000000,43.614002,19072098.000000,1695047400.0
1695047400.0,43.616199,43.900002,43.367001,43.653923,6896034.000000,1695051000.0
1695051000.0,43.653660,44.242001,43.581001,44.165009,5749042.000000,1695054600.0
1695054600.0,44.172001,44.198498,43.780998,44.015770,4397844.000000,1695058200.0
1695058200.0,44.023003,44.200001,43.959999,43.980499,3746589.000000,1695061800.0
1695061800.0,43.984001,44.124992,43.709999,43.797100,3992839.000000,1695065400.0
1695065400.0,43.799000,43.974998,43.688000,43.965000,3580799.000000,1695069000.0
1695130200.0,43.833000,43.966000,43.317490,43.556999,9946289.000000,1695133800.0
1695133800.0,43.548901,43.556499,43.088001,43.245003,6453854.000000,1695137400.0
1695137400.0,43.251991,43.334999,43.001999,43.193501,4148133.000000,1695141000.0
1695141000.0,43.192001,43.487999,43.154999,43.403000,3282758.000000,1695144600.0
1695144600.0,43.396679,43.696999,43.396679,43.586498,4193995.000000,1695148200.0
1695148200.0,43.580009,43.789989,43.381001,43.528603,5024523.000000,1695151800.0
1695151800.0,43.532997,43.623001,43.424999,43.508999,2375353.000000,1695155400.0
1695216600.0,43.599998,43.903000,43.283260,43.476997,8695671.000000,1695220200.0
1695220200.0,43.487991,43.638000,43.265999,43.336998,3978034.000000,1695223800.0
1695223800.0,43.329998,43.596001,43.315849,43.510002,3051856.000000,1695227400.0
1695227400.0,43.513000,43.564999,43.192001,43.207001,2450341.000000,1695231000.0
1695231000.0,43.208000,43.298000,42.913002,43.099998,4325141.000000,1695234600.0
1695234600.0,43.095497,43.387970,42.736000,42.839531,5816620.000000,1695238200.0
1695238200.0,42.833000,42.855610,42.223000,42.230999,5490754.000000,1695241800.0
1695303000.0,41.583000,42.099998,41.271000,41.795002,15177035.000000,1695306600.0
1695306600.0,41.793499,41.825001,41.394001,41.432831,6367408.000000,1695310200.0
1695310200.0,41.429001,41.601860,41.290001,41.461998,4260907.000000,1695313800.0
1695313800.0,41.463001,41.660000,41.315010,41.569000,3810792.000000,1695317400.0
1695317400.0,41.579998,41.644001,41.329998,41.374500,3038519.000000,1695321000.0
1695321000.0,41.370998,41.470001,41.021000,41.045998,5063932.000000,1695324600.0
1695324600.0,41.045002,41.267998,40.980000,41.006001,4809523.000000,1695328200.0
1695389400.0,41.571999,41.914001,41.230999,41.480499,12221215.000000,1695393000.0
1695393000.0,41.485001,42.114998,41.480247,42.004002,10330177.000000,1695396600.0
1695396600.0,42.007000,42.088001,41.799999,41.891502,4592126.000000,1695400200.0
1695400200.0,41.896999,41.973000,41.617401,41.660999,3830183.000000,1695403800.0
1695403800.0,41.661999,41.723167,41.299000,41.532501,5131823.000000,1695407400.0
1695407400.0,41.528999,41.979000,41.431999,41.868000,5010474.000000,1695411000.0
1695411000.0,41.879997,41.935001,41.529999,41.632000,3792813.000000,1695414600.0
1695648600.0,41.591000,42.535999,41.176998,42.178001,13493416.000000,1695652200.0
1695652200.0,42.170052,42.442001,41.875000,42.278000,6565481.000000,1695655800.0
1695655800.0,42.286999,42.461998,42.067207,42.364300,4658850.000000,1695659400.0
1695659400.0,42.368000,42.370003,42.017998,42.148998,3918621.000000,1695663000.0
1695663000.0,42.154999,42.236000,41.965000,42.010002,3402884.000000,1695666600.0
1695666600.0,42.010002,42.165001,41.760998,41.924500,4302578.000000,1695670200.0
1695670200.0,41.920002,42.253689,41.842003,42.229000,3246205.000000,1695673800.0
1695735000.0,42.000999,42.394989,41.654999,42.364002,10805123.000000,1695738600.0
1695738600.0,42.364002,42.820000,42.079998,42.090500,8255868.000000,1695742200.0
1695742200.0,42.096001,42.373901,42.018013,42.236500,4520156.000000,1695745800.0
1695745800.0,42.233498,42.379997,42.155010,42.180000,3164994.000000,1695749400.0
1695749400.0,42.183998,42.377998,41.984970,42.215992,3724057.000000,1695753000.0
1695753000.0,42.209499,42.232002,41.799999,41.868969,3985955.000000,1695756600.0
1695756600.0,41.870003,41.938000,41.760002,41.911999,3204543.000000,1695760200.0
