ts_open,o,h,l,c,v,ts_close
1786023000.0,221.529999,221.949997,220.809998,220.994995,5461259.000000,1786023060.0
1786023060.0,220.949997,221.830002,220.729996,221.714996,551696.000000,1786023120.0
1786023120.0,221.710007,221.770004,220.550003,220.639999,613020.000000,1786023180.0
1786023180.0,220.639999,220.990005,220.020004,220.850296,460340.000000,1786023240.0
1786023240.0,220.884995,222.220001,220.880096,222.205002,1045905.000000,1786023300.0
1786023300.0,222.199997,223.199997,222.169998,222.815002,1692619.000000,1786023360.0
1786023360.0,222.830002,223.439896,222.649994,223.345001,935265.000000,1786023420.0
1786023420.0,223.360001,223.410004,222.839996,223.339996,578303.000000,1786023480.0
1786023480.0,223.335007,223.369995,222.729996,222.999893,681811.000000,1786023540.0
1786023540.0,222.949997,222.979996,222.300095,222.610001,533063.000000,1786023600.0
1786023600.0,222.600006,223.529999,222.520004,223.360001,691234.000000,1786023660.0
1786023660.0,223.335007,223.529999,222.800003,222.979996,583247.000000,1786023720.0
1786023720.0,222.979996,223.020004,222.259995,222.259995,569181.000000,1786023780.0
1786023780.0,222.240005,222.684998,222.023605,222.304993,538576.000000,1786023840.0
1786023840.0,222.309998,222.417999,221.779999,222.054001,484071.000000,1786023900.0
1786023900.0,222.059998,223.000000,222.050003,222.630005,446768.000000,1786023960.0
1786023960.0,222.619995,222.800003,222.360001,222.770004,372813.000000,1786024020.0
1786024020.0,222.759995,223.289993,222.725006,223.130005,737355.000000,1786024080.0
1786024080.0,223.125000,223.489899,223.070007,223.469193,654010.000000,1786024140.0
1786024140.0,223.464996,223.627502,223.291000,223.494995,581304.000000,1786024200.0
1786024200.0,223.505005,223.580002,222.735504,222.933304,609033.000000,1786024260.0
1786024260.0,222.964996,223.402298,222.899994,223.339996,372574.000000,1786024320.0
1786024320.0,223.330002,223.399994,223.068207,223.331406,314456.000000,1786024380.0
1786024380.0,223.354996,223.369995,222.910095,222.976303,324652.000000,1786024440.0
1786024440.0,222.979996,223.139999,222.690002,222.809998,300566.000000,1786024500.0
1786024500.0,222.839996,222.975006,222.600006,222.965607,406787.000000,1786024560.0
1786024560.0,222.929993,223.110001,222.399994,222.464996,432389.000000,1786024620.0
1786024620.0,222.479996,222.564102,222.100006,222.429993,378455.000000,1786024680.0
1786024680.0,222.429993,222.589905,222.160004,222.414993,399829.000000,1786024740.0
1786024740.0,222.380005,222.440002,221.960007,222.160004,482773.000000,1786024800.0
1786024800.0,222.134995,222.240005,221.649994,221.919998,522042.000000,1786024860.0
1786024860.0,221.900101,222.539993,221.669998,222.384995,539199.000000,1786024920.0
1786024920.0,222.380005,222.630005,222.330002,222.479996,403914.000000,1786024980.0
1786024980.0,222.479996,222.529999,221.910004,221.964996,263906.000000,1786025040.0
1786025040.0,221.979996,222.130005,221.750000,221.960007,326329.000000,1786025100.0
1786025100.0,221.949997,222.058304,221.690002,221.884995,321242.000000,1786025160.0
1786025160.0,221.860001,221.860001,221.401993,221.800003,408833.000000,1786025220.0
1786025220.0,221.820007,221.850006,221.500000,221.514999,291454.000000,1786025280.0
1786025280.0,221.514999,221.770004,221.419998,221.660797,332448.000000,1786025340.0
1786025340.0,221.670105,221.889999,221.625000,221.835007,278228.000000,1786025400.0
1786025400.0,221.835007,222.000000,221.630005,221.725006,336921.000000,1786025460.0
1786025460.0,221.725006,221.960007,221.710007,221.917007,245716.000000,1786025520.0
1786025520.0,221.910004,221.987000,221.479996,221.565002,323345.000000,1786025580.0
1786025580.0,221.574997,221.830994,221.573196,221.634995,234883.000000,1786025640.0
1786025640.0,221.643204,221.729904,221.289993,221.350006,328403.000000,1786025700.0
1786025700.0,221.328293,221.520004,221.009995,221.389999,562780.000000,1786025760.0
1786025760.0,221.389999,221.669998,221.309998,221.514999,332020.000000,1786025820.0
1786025820.0,221.500000,221.869995,221.429993,221.690002,293186.000000,1786025880.0
1786025880.0,221.709198,221.829895,221.509995,221.534393,271616.000000,1786025940.0
1786025940.0,221.530106,221.570007,220.911194,220.911194,575285.000000,1786026000.0
1786026000.0,220.910004,221.359894,220.860001,221.134995,412113.000000,1786026060.0
1786026060.0,221.149994,221.259903,220.895004,221.054993,416031.000000,1786026120.0
1786026120.0,221.059998,221.229996,220.809998,220.880005,256685.000000,1786026180.0
1786026180.0,220.865005,220.889999,220.509995,220.535400,387722.000000,1786026240.0
1786026240.0,220.520004,220.709900,220.229996,220.315002,413586.000000,1786026300.0
1786026300.0,220.380005,220.450394,220.000000,220.210007,516652.000000,1786026360.0
1786026360.0,220.199997,220.209900,219.705704,219.869995,490220.000000,1786026420.0
1786026420.0,219.879501,219.880005,219.470093,219.645004,491044.000000,1786026480.0
1786026480.0,219.654999,219.846603,219.440002,219.589996,368886.000000,1786026540.0
1786026540.0,219.570007,219.815002,219.330093,219.815002,382437.000000,1786026600.0
1786026600.0,219.821793,219.949997,219.380005,219.383499,352657.000000,1786026660.0
1786026660.0,219.395004,219.604996,219.169998,219.604996,422078.000000,1786026720.0
1786026720.0,219.684998,219.749893,219.360001,219.573502,295049.000000,1786026780.0
1786026780.0,219.600006,219.735992,219.300003,219.699997,349115.000000,1786026840.0
1786026840.0,219.731903,219.969894,219.710098,219.750000,689352.000000,1786026900.0
1786026900.0,219.729996,219.914993,219.449997,219.869995,771312.000000,1786026960.0
1786026960.0,219.888107,219.949997,219.270004,219.479996,371504.000000,1786027020.0
1786027020.0,219.479706,219.490005,218.929993,219.229996,567091.000000,1786027080.0
1786027080.0,219.225006,219.240005,218.921005,219.080002,283917.000000,1786027140.0
1786027140.0,219.050095,219.250000,218.934998,218.990005,368927.000000,1786027200.0
1786027200.0,218.979996,219.491699,218.929901,219.476303,350831.000000,1786027260.0
1786027260.0,219.449997,219.600006,219.179993,219.574997,327090.000000,1786027320.0
1786027320.0,219.550003,219.731293,219.380005,219.695007,286262.000000,1786027380.0
1786027380.0,219.695007,219.779999,219.529999,219.735001,246024.000000,1786027440.0
1786027440.0,219.729996,219.830002,219.199997,219.220001,292964.000000,1786027500.0
1786027500.0,219.229996,219.335999,218.809998,219.169495,391949.000000,1786027560.0
1786027560.0,219.169998,219.464996,219.070007,219.104996,300656.000000,1786027620.0
1786027620.0,219.095001,219.429993,219.070206,219.429993,209171.000000,1786027680.0
1786027680.0,219.449997,219.550003,219.179993,219.360001,224429.000000,1786027740.0
1786027740.0,219.365005,219.589996,219.350006,219.397903,165819.000000,1786027800.0
1786027800.0,219.369995,219.609894,219.220001,219.470001,291741.000000,1786027860.0
1786027860.0,219.455002,219.580002,219.190002,219.259506,198492.000000,1786027920.0
1786027920.0,219.257004,219.399994,219.010101,219.335007,207750.000000,1786027980.0
1786027980.0,219.335007,219.335007,218.960007,218.964996,198405.000000,1786028040.0
1786028040.0,218.949997,219.410004,218.949997,219.410004,223805.000000,1786028100.0
1786028100.0,219.419998,219.449997,219.000000,219.190002,199540.000000,1786028160.0
1786028160.0,219.191895,219.539993,219.093399,219.509995,203817.000000,1786028220.0
1786028220.0,219.520004,219.789993,219.440002,219.639999,302709.000000,1786028280.0
1786028280.0,219.660004,219.710007,219.199997,219.199997,282618.000000,1786028340.0
1786028340.0,219.220001,219.319901,219.059998,219.119995,187989.000000,1786028400.0
1786028400.0,219.110001,219.349899,218.710007,218.804993,377843.000000,1786028460.0
1786028460.0,218.801895,218.839996,218.619995,218.660004,299103.000000,1786028520.0
1786028520.0,218.645004,218.690002,218.149994,218.184998,503446.000000,1786028580.0
1786028580.0,218.195007,218.289902,217.817993,217.899994,533036.000000,1786028640.0
1786028640.0,217.899994,218.059998,217.740005,217.830002,294151.000000,1786028700.0
1786028700.0,217.824997,218.080093,217.710098,218.024994,294508.000000,1786028760.0
1786028760.0,218.039993,218.338501,217.839996,218.289993,425440.000000,1786028820.0
1786028820.0,218.270004,218.488998,218.250000,218.354996,275512.000000,1786028880.0
1786028880.0,218.350296,218.489899,218.110001,218.139999,228239.000000,1786028940.0
1786028940.0,218.100204,218.300003,218.020096,218.190002,236445.000000,1786029000.0
1786029000.0,218.149994,218.320007,218.054993,218.229996,290737.000000,1786029060.0
1786029060.0,218.225006,218.479996,218.190002,218.479904,249322.000000,1786029120.0
1786029120.0,218.440002,218.610001,218.360001,218.429993,269487.000000,1786029180.0
1786029180.0,218.429993,218.690002,218.419998,218.440002,236965.000000,1786029240.0
1786029240.0,218.429993,218.459900,218.199997,218.345001,163543.000000,1786029300.0
1786029300.0,218.320007,218.360107,218.105499,218.169998,157661.000000,1786029360.0
1786029360.0,218.160004,218.244400,217.929993,218.219498,259658.000000,1786029420.0
1786029420.0,218.229797,218.250000,217.929993,218.020004,186927.000000,1786029480.0
1786029480.0,218.024994,218.244995,217.830002,218.195007,263753.000000,1786029540.0
1786029540.0,218.190002,218.239899,217.970703,217.994995,194486.000000,1786029600.0
1786029600.0,218.009995,218.109894,217.809998,218.029999,210174.000000,1786029660.0
1786029660.0,218.000000,218.100006,217.710007,218.046997,191001.000000,1786029720.0
1786029720.0,218.029999,218.139999,217.979996,218.039993,181110.000000,1786029780.0
1786029780.0,218.059998,218.199997,217.820007,218.139999,203921.000000,1786029840.0
1786029840.0,218.139999,218.179901,217.875702,217.925003,191494.000000,1786029900.0
1786029900.0,217.910004,218.110001,217.860001,218.058105,152480.000000,1786029960.0
1786029960.0,218.080002,218.319901,218.003403,218.035004,203557.000000,1786030020.0
1786030020.0,218.044998,218.429901,217.990005,218.047897,178277.000000,1786030080.0
1786030080.0,218.050003,218.279999,218.050003,218.264999,170328.000000,1786030140.0
1786030140.0,218.270004,218.339996,218.079498,218.204102,134559.000000,1786030200.0
1786030200.0,218.210007,218.399994,218.160095,218.335297,162650.000000,1786030260.0
1786030260.0,218.339996,218.419998,218.100006,218.117996,163554.000000,1786030320.0
1786030320.0,218.100006,218.119995,217.929993,217.964996,201334.000000,1786030380.0
1786030380.0,217.929993,218.050003,217.800201,217.934998,166386.000000,1786030440.0
1786030440.0,217.940002,217.945007,217.639999,217.695007,242185.000000,1786030500.0
1786030500.0,217.699997,217.919998,217.682297,217.865005,235188.000000,1786030560.0
1786030560.0,217.869995,217.884995,217.399994,217.410004,289572.000000,1786030620.0
1786030620.0,217.399994,217.559998,217.310196,217.514999,256673.000000,1786030680.0
1786030680.0,217.529999,217.750000,217.414993,217.577301,154148.000000,1786030740.0
1786030740.0,217.569000,217.759995,217.410004,217.675003,250293.000000,1786030800.0
1786030800.0,217.690002,217.800003,217.649994,217.690002,216834.000000,1786030860.0
1786030860.0,217.705002,217.787903,217.649994,217.699997,136682.000000,1786030920.0
1786030920.0,217.679993,217.880005,217.630005,217.669998,160429.000000,1786030980.0
1786030980.0,217.679993,217.880005,217.619995,217.729996,157917.000000,1786031040.0
1786031040.0,217.740005,217.755005,217.330002,217.380005,202180.000000,1786031100.0
1786031100.0,217.354996,217.580002,217.335007,217.462006,155794.000000,1786031160.0
1786031160.0,217.475006,217.889893,217.395004,217.889893,178737.000000,1786031220.0
1786031220.0,217.889999,217.989899,217.779999,217.800003,171915.000000,1786031280.0
1786031280.0,217.789993,218.131897,217.759995,218.125000,180661.000000,1786031340.0
1786031340.0,218.139999,218.179901,217.779999,217.824997,175028.000000,1786031400.0
1786031400.0,217.809998,218.059998,217.809998,217.889999,180819.000000,1786031460.0
1786031460.0,217.899994,217.919998,217.580002,217.824997,278080.000000,1786031520.0
1786031520.0,217.824997,218.098007,217.630005,217.720001,245281.000000,1786031580.0
1786031580.0,217.725006,217.850006,217.410004,217.490005,193609.000000,1786031640.0
1786031640.0,217.475006,217.649902,217.270004,217.350006,210950.000000,1786031700.0
1786031700.0,217.339996,217.729996,217.270004,217.725006,243894.000000,1786031760.0
1786031760.0,217.735001,217.979996,217.735001,217.896805,206662.000000,1786031820.0
1786031820.0,217.889999,218.169998,217.889999,218.115005,237586.000000,1786031880.0
1786031880.0,218.100006,218.125000,217.869995,217.990005,193127.000000,1786031940.0
1786031940.0,217.979996,218.029999,217.775696,217.910095,254706.000000,1786032000.0
1786032000.0,217.889999,217.990005,217.570007,217.570007,205657.000000,1786032060.0
1786032060.0,217.570007,217.690002,217.440002,217.679901,214260.000000,1786032120.0
1786032120.0,217.710007,217.820007,217.649994,217.711807,148512.000000,1786032180.0
1786032180.0,217.714996,217.850006,217.630005,217.669998,104852.000000,1786032240.0
1786032240.0,217.669998,217.705002,217.470001,217.705002,127328.000000,1786032300.0
1786032300.0,217.710007,217.970001,217.649994,217.940002,126893.000000,1786032360.0
1786032360.0,217.934998,218.000000,217.839996,217.979996,98155.000000,1786032420.0
1786032420.0,217.985001,218.229996,217.949997,218.134995,179773.000000,1786032480.0
1786032480.0,218.149994,218.315002,218.125000,218.210007,155570.000000,1786032540.0
1786032540.0,218.220001,218.387207,218.160004,218.301895,159542.000000,1786032600.0
1786032600.0,218.289993,218.660004,218.289993,218.539902,301996.000000,1786032660.0
1786032660.0,218.524994,218.554993,218.320007,218.410004,315980.000000,1786032720.0
1786032720.0,218.419998,218.619797,218.399994,218.600006,146515.000000,1786032780.0
1786032780.0,218.610001,218.630005,218.369995,218.369995,180234.000000,1786032840.0
1786032840.0,218.360001,218.459900,218.300003,218.365005,150031.000000,1786032900.0
1786032900.0,218.360001,218.490005,218.229996,218.365005,144382.000000,1786032960.0
1786032960.0,218.360001,218.468002,218.020004,218.419998,190480.000000,1786033020.0
1786033020.0,218.410004,218.449997,218.199997,218.319397,154146.000000,1786033080.0
1786033080.0,218.339905,218.660004,218.259995,218.600006,175556.000000,1786033140.0
1786033140.0,218.604996,218.770004,218.570007,218.622604,289911.000000,1786033200.0
1786033200.0,218.610001,218.709396,218.440002,218.619995,151887.000000,1786033260.0
1786033260.0,218.619995,218.679993,218.500000,218.600006,159998.000000,1786033320.0
1786033320.0,218.619995,218.737900,218.449997,218.574997,151194.000000,1786033380.0
1786033380.0,218.559998,218.839996,218.550095,218.729996,220142.000000,1786033440.0
1786033440.0,218.748001,219.095001,218.529999,219.089996,286298.000000,1786033500.0
1786033500.0,219.095001,219.130005,218.759995,218.759995,219080.000000,1786033560.0
1786033560.0,218.755005,218.910004,218.710007,218.835007,154957.000000,1786033620.0
1786033620.0,218.820007,218.899994,218.649994,218.880005,663298.000000,1786033680.0
1786033680.0,218.860107,218.959900,218.699997,218.739899,136579.000000,1786033740.0
1786033740.0,218.729996,218.744995,218.500107,218.529999,126987.000000,1786033800.0
1786033800.0,218.539993,218.770004,218.500000,218.770004,155155.000000,1786033860.0
1786033860.0,218.759995,218.880005,218.690002,218.859894,87966.000000,1786033920.0
1786033920.0,218.860001,219.073807,218.854996,218.919693,183315.000000,1786033980.0
1786033980.0,218.914993,218.925003,218.679993,218.755005,624351.000000,1786034040.0
1786034040.0,218.740005,218.919998,218.645599,218.908798,154951.000000,1786034100.0
1786034100.0,218.919998,219.054993,218.873199,218.910004,117345.000000,1786034160.0
1786034160.0,218.910004,219.104996,218.865601,219.085007,158067.000000,1786034220.0
1786034220.0,219.074997,219.169998,218.994995,219.130005,122773.000000,1786034280.0
1786034280.0,219.119995,219.179993,219.100006,219.119995,106870.000000,1786034340.0
1786034340.0,219.100006,219.179901,219.009995,219.169998,123448.000000,1786034400.0
1786034400.0,219.190002,219.270004,219.145004,219.240005,184148.000000,1786034460.0
1786034460.0,219.229996,219.309998,218.880005,219.060501,221536.000000,1786034520.0
1786034520.0,219.070007,219.149994,219.020004,219.080002,92512.000000,1786034580.0
1786034580.0,219.110001,219.160004,218.940002,218.981400,77573.000000,1786034640.0
1786034640.0,218.970001,219.059998,218.899994,218.949997,104574.000000,1786034700.0
1786034700.0,218.919998,219.238007,218.891006,219.164993,97528.000000,1786034760.0
1786034760.0,219.160004,219.169495,218.560104,218.649994,139801.000000,1786034820.0
1786034820.0,218.654999,218.785004,218.479996,218.709900,332384.000000,1786034880.0
1786034880.0,218.684998,218.850006,218.680099,218.754501,74896.000000,1786034940.0
1786034940.0,218.755005,219.061798,218.740005,219.061798,0.000000,1786035000.0
1786035000.0,219.089996,219.169998,219.039993,219.080002,196074.000000,1786035060.0
1786035060.0,219.070007,219.264999,218.960098,219.149994,113904.000000,1786035120.0
1786035120.0,219.134995,219.270004,219.100006,219.220001,122504.000000,1786035180.0
1786035180.0,219.225006,219.320007,219.169998,219.225006,113092.000000,1786035240.0
1786035240.0,219.220001,219.240005,218.949997,218.970001,138475.000000,1786035300.0
1786035300.0,218.979996,219.115005,218.869995,219.100006,134637.000000,1786035360.0
1786035360.0,219.119995,219.149994,219.000000,219.080002,77059.000000,1786035420.0
1786035420.0,219.070007,219.179901,219.009995,219.044998,58416.000000,1786035480.0
1786035480.0,219.050003,219.285004,219.040802,219.259995,80788.000000,1786035540.0
1786035540.0,219.264999,219.440002,219.264999,219.369995,127251.000000,1786035600.0
1786035600.0,219.380005,219.649994,219.350006,219.619995,215259.000000,1786035660.0
1786035660.0,219.639999,219.669998,219.461700,219.490005,200448.000000,1786035720.0
1786035720.0,219.475006,219.649994,219.460007,219.625000,150517.000000,1786035780.0
1786035780.0,219.625000,219.679993,219.500000,219.509995,156832.000000,1786035840.0
1786035840.0,219.470001,219.559998,219.270004,219.324997,141395.000000,1786035900.0
1786035900.0,219.322800,219.520004,219.270004,219.500000,131770.000000,1786035960.0
1786035960.0,219.490097,219.539902,219.460007,219.478195,89452.000000,1786036020.0
1786036020.0,219.485001,219.583694,219.360001,219.455002,145793.000000,1786036080.0
1786036080.0,219.419998,219.520004,219.360001,219.479996,95376.000000,1786036140.0
1786036140.0,219.499893,219.750000,219.476501,219.549896,729173.000000,1786036200.0
1786036200.0,219.539902,219.574997,219.399994,219.460007,139501.000000,1786036260.0
1786036260.0,219.464996,219.464996,219.320007,219.384995,69775.000000,1786036320.0
1786036320.0,219.369995,219.440002,219.320007,219.429993,114604.000000,1786036380.0
1786036380.0,219.449493,219.619995,219.419998,219.479996,173025.000000,1786036440.0
1786036440.0,219.490005,219.585007,219.279999,219.320007,109988.000000,1786036500.0
