ts_open,o,h,l,c,v,ts_close
1695043800.0,369.320007,371.320007,369.029999,370.470001,10091609.000000,1695047400.0
1695047400.0,370.489990,370.929993,369.500000,370.869995,5319400.000000,1695051000.0
1695051000.0,370.869995,371.670013,370.809998,371.519989,4420408.000000,1695054600.0
1695054600.0,371.565002,371.790009,370.920013,371.355011,2018503.000000,1695058200.0
1695058200.0,371.359985,371.690002,371.010010,371.063507,2782753.000000,1695061800.0
1695061800.0,371.070007,371.339996,369.850006,370.470001,5033255.000000,1695065400.0
1695065400.0,370.470001,370.760010,370.019989,370.649994,5060678.000000,1695069000.0
1695130200.0,369.320007,369.765015,367.380005,368.049988,9735163.000000,1695133800.0
1695133800.0,368.040009,368.069000,366.799988,367.600006,4911513.000000,1695137400.0
1695137400.0,367.589996,367.928986,367.049988,367.660004,3030511.000000,1695141000.0
1695141000.0,367.630615,368.920013,367.149994,368.569000,4682807.000000,1695144600.0
1695144600.0,368.575012,370.040009,368.575012,369.519989,5697085.000000,1695148200.0
1695148200.0,369.519989,370.630005,368.932007,369.510010,4334159.000000,1695151800.0
1695151800.0,369.519989,370.184998,369.303406,369.869995,3749877.000000,1695155400.0
1695216600.0,370.950012,371.309998,369.559692,369.839996,5970740.000000,1695220200.0
1695220200.0,369.839996,370.269989,368.809998,368.970001,3640006.000000,1695223800.0
1695223800.0,368.924988,369.940002,368.769989,369.912994,2846618.000000,1695227400.0
1695227400.0,369.920013,370.149994,369.600098,369.720001,1929697.000000,1695231000.0
1695231000.0,369.739990,369.970001,367.750000,368.890015,7509081.000000,1695234600.0
1695234600.0,368.890015,370.279999,366.279999,366.970001,12080212.000000,1695238200.0
1695238200.0,367.000000,367.100006,364.459991,364.540009,8778841.000000,1695241800.0
1695303000.0,361.304993,361.600006,359.170013,360.309998,20525050.000000,1695306600.0
1695306600.0,360.320007,361.559998,359.609985,359.750000,9164181.000000,1695310200.0
1695310200.0,359.739990,360.487610,359.227295,359.730011,6616186.000000,1695313800.0
1695313800.0,359.730011,361.000000,359.579987,360.739990,5985202.000000,1695317400.0
1695317400.0,360.760010,361.119995,359.470001,359.510010,5860398.000000,1695321000.0
1695321000.0,359.500000,359.989990,358.480011,358.589996,7653121.000000,1695324600.0
1695324600.0,358.600006,358.924988,357.690002,357.769989,9536277.000000,1695328200.0
1695389400.0,359.630005,360.280914,358.440002,360.000000,12524358.000000,1695393000.0
1695393000.0,360.005005,361.559998,360.000000,361.399994,7113564.000000,1695396600.0
1695396600.0,361.410004,361.799988,360.450012,361.250000,4332479.000000,1695400200.0
1695400200.0,361.269989,361.679993,359.600006,359.829987,4379297.000000,1695403800.0
1695403800.0,359.785004,359.799988,357.909912,358.459991,5898782.000000,1695407400.0
1695407400.0,358.459991,360.600098,358.079987,359.960114,5244497.000000,1695411000.0
1695411000.0,359.970001,360.170013,357.589996,357.940002,8716716.000000,1695414600.0
1695648600.0,356.929993,358.679993,355.929993,357.038910,11342819.000000,1695652200.0
1695652200.0,357.019989,359.170013,356.769989,358.670013,6753870.000000,1695655800.0
1695655800.0,358.679993,359.600006,358.380005,359.437500,3634084.000000,1695659400.0
1695659400.0,359.470001,359.500000,357.910004,358.440002,3505350.000000,1695663000.0
