ts_open,o,h,l,c,v,ts_close
1695043800.0,443.049988,443.760010,442.559998,443.369995,9878640.000000,1695047400.0
1695047400.0,443.369995,444.079987,443.029999,444.065002,7573416.000000,1695051000.0
1695051000.0,444.065002,444.790009,444.040009,444.649994,6558165.000000,1695054600.0
1695054600.0,444.649994,444.970001,444.154999,444.460114,4511565.000000,1695058200.0
1695058200.0,444.460114,444.790009,444.010010,444.092896,4454306.000000,1695061800.0
1695061800.0,444.095001,444.339996,443.174988,443.540009,8174992.000000,1695065400.0
1695065400.0,443.540009,443.730011,443.174988,443.640015,9704329.000000,1695069000.0
1695130200.0,442.679993,443.250000,441.089996,441.619995,11890647.000000,1695133800.0
1695133800.0,441.625000,441.625000,440.494995,440.890015,8278217.000000,1695137400.0
1695137400.0,440.864990,441.040009,440.230988,440.559998,6110420.000000,1695141000.0
1695141000.0,440.559998,441.299988,439.940002,441.106903,5419344.000000,1695144600.0
1695144600.0,441.105011,442.450012,441.099091,442.049988,7749043.000000,1695148200.0
1695148200.0,442.040009,443.290009,441.880005,442.500000,8039526.000000,1695151800.0
1695151800.0,442.500000,443.179993,442.260010,442.750000,8529616.000000,1695155400.0
1695216600.0,444.010010,444.434998,443.399994,443.797913,8946454.000000,1695220200.0
1695220200.0,443.799988,443.989990,443.250000,443.290009,4431949.000000,1695223800.0
1695223800.0,443.274994,443.859985,443.160004,443.841003,4591470.000000,1695227400.0
1695227400.0,443.850006,444.010010,443.579987,443.625000,3142972.000000,1695231000.0
1695231000.0,443.630005,443.709991,441.529999,442.600006,12002308.000000,1695234600.0
1695234600.0,442.570007,443.750000,440.239990,440.864990,15849424.000000,1695238200.0
1695238200.0,440.880005,440.929993,438.429993,438.589996,18072105.000000,1695241800.0
1695303000.0,435.970001,435.970001,434.010010,434.688507,20352123.000000,1695306600.0
1695306600.0,434.690002,435.440002,433.649994,433.799988,9736150.000000,1695310200.0
1695310200.0,433.799988,434.519989,433.429993,433.752594,8310972.000000,1695313800.0
1695313800.0,433.779999,434.815002,433.489990,434.595001,7529646.000000,1695317400.0
1695317400.0,434.739990,434.899994,433.320007,433.334991,7976536.000000,1695321000.0
1695321000.0,433.329987,433.769989,432.010010,432.109985,14605794.000000,1695324600.0
1695324600.0,432.109985,432.399994,431.230011,431.410004,24523131.000000,1695328200.0
1695389400.0,432.450012,433.110291,431.670013,432.755005,15713607.000000,1695393000.0
1695393000.0,432.765015,433.899994,432.750000,433.869995,11264743.000000,1695396600.0
