Fecha,Caudalímetro 5,Consumo de energía sin restabecim. RTAE 5,Cto.1 Número de arranques del compresor,Cto.1 Presión del refrigerante del condensador,Cto.1 Presión del refrigerante del evaporador,Cto.1 Temperatura de saturación del refrigerante del condensador,Cto.1 Temperatura de saturación del refrigerante del evaporador,Cto.1 Tiempo de operación del compresor,Cto.2 Número de arranques del compresor,Cto.2 Presión del refrigerante del condensador,Cto.2 Presión del refrigerante del evaporador,Cto.2 Temperatura de saturación de refrigerante de evaporador,Cto.2 Temperatura de saturación de refrigerante del condensador,Cto.2 Tiempo de operación del compresor,Punto de ajuste activo de agua helada,Temperatura de entrada de agua,Temperatura de salida de agua,Temperatura del medio ambiente,iso_anomaly
2025-01-02,201.0,8403330.0,5358.0,1214.0,265.0,49.9,6.3,55247.0,4447.0,1376.0,273.0,7.0,54.6,51365.0,9.5,11.1,9.4,25.0,False
2025-01-03,200.0,8407123.0,5358.0,1389.0,264.0,55.0,6.3,55271.0,4448.0,1541.0,273.0,7.0,59.0,51389.0,9.5,11.8,9.5,23.0,False
2025-01-04,193.0,8410203.0,5358.0,738.0,282.0,33.0,7.6,55290.0,4448.0,842.0,298.0,8.5,37.2,51408.0,9.5,12.0,9.5,14.0,False
2025-01-06,198.0,8416091.0,5358.0,949.0,275.0,41.7,7.1,55344.0,4448.0,842.0,298.0,8.5,37.2,51408.0,9.5,11.0,9.4,20.0,False
2025-01-07,202.0,8419304.0,5359.0,1011.0,265.0,43.3,6.4,55368.0,4460.0,1151.0,273.0,7.0,47.9,51461.0,9.5,11.4,9.5,20.0,False
2025-01-08,200.0,8422406.0,5359.0,1194.0,264.0,49.4,6.3,55391.0,4461.0,1304.0,273.0,7.0,52.5,51483.0,9.5,11.9,9.5,21.0,False
2025-01-09,197.0,8426213.0,5359.0,1285.0,263.0,51.9,6.2,55414.0,4461.0,1388.0,271.0,6.8,54.9,51507.0,9.5,11.6,9.6,22.0,False
2025-01-10,188.0,8429559.0,5359.0,1046.0,268.0,44.6,6.6,55437.0,4461.0,1124.0,276.0,7.2,47.1,51530.0,9.5,11.7,9.4,20.0,False
2025-01-11,173.0,8432250.0,5359.0,896.0,274.0,39.1,7.0,55457.0,4461.0,1038.0,283.0,7.7,43.8,51550.0,9.5,12.5,9.4,17.0,False
2025-01-13,194.0,8438782.0,5359.0,1098.0,267.0,46.3,6.5,55509.0,4465.0,1261.0,275.0,7.1,51.3,51599.0,9.5,11.5,9.6,24.0,False
2025-01-14,202.0,8441995.0,5359.0,986.0,270.0,42.5,6.8,55535.0,4465.0,1121.0,279.0,7.4,47.0,51625.0,9.5,11.6,9.5,19.0,False
2025-01-15,202.0,8445103.0,5359.0,1207.0,261.0,49.7,6.1,55557.0,4465.0,1354.0,270.0,6.7,54.0,51647.0,9.5,11.3,9.5,26.0,False
2025-01-16,200.0,8448169.0,5359.0,1144.0,263.0,47.6,6.2,55581.0,4469.0,1270.0,271.0,6.8,51.4,51665.0,9.5,10.9,9.7,25.0,False
2025-01-17,199.0,8451217.0,5359.0,1209.0,261.0,49.8,7.8,55606.0,4470.0,1342.0,270.0,6.7,53.6,51689.0,9.5,11.5,9.5,23.0,False
2025-01-18,198.0,8453463.0,5359.0,630.0,289.0,28.2,8.2,55624.0,4470.0,697.0,297.0,8.8,31.2,51707.0,9.5,12.9,9.6,9.0,True
2025-01-20,200.0,0.0,5359.0,1045.0,270.0,44.6,6.7,55679.0,4472.0,1096.0,276.0,7.2,46.2,51755.0,9.5,11.0,9.4,19.6,False
2025-01-21,196.0,8464164.0,5359.0,1332.0,262.0,54.8,6.1,55702.0,4476.0,1524.0,271.0,6.8,58.5,51775.0,9.5,11.8,9.7,26.0,False
2025-01-22,200.0,8467837.0,5359.0,1373.0,264.0,54.4,6.2,55726.0,4476.0,1559.0,273.0,7.0,59.4,51799.0,9.5,11.9,9.7,25.0,False
2025-01-23,196.0,8471676.0,5359.0,1364.0,261.0,54.5,6.1,55750.0,4476.0,1544.0,271.0,6.8,59.1,51823.0,9.5,12.2,9.6,24.0,False
2025-01-24,184.0,8475957.0,5359.0,1526.0,264.0,59.0,6.3,55774.0,4476.0,1625.0,274.0,7.0,61.1,51847.0,9.5,12.4,10.0,24.0,False
2025-01-25,194.0,8479012.0,5359.0,677.0,284.0,30.4,7.8,55792.0,4476.0,771.0,293.0,8.5,34.4,51866.0,9.5,13.2,9.5,11.0,False
2025-01-30,197.0,8490118.0,5360.0,1539.0,261.0,58.7,6.1,55861.0,4483.0,1635.0,270.0,6.7,61.3,51924.0,9.5,11.8,9.5,23.0,False
2025-01-31,211.0,8495251.0,5360.0,1567.0,281.0,59.5,7.6,55885.0,4483.0,1711.0,292.0,8.4,63.2,51948.0,9.5,13.1,11.5,29.0,False
2025-02-01,194.0,8499008.0,5360.0,902.0,279.0,39.3,7.4,55904.0,4487.0,905.0,286.0,7.9,39.6,51967.0,9.5,12.1,9.5,15.0,False
